Moisture,Category_One_Defects,Category_Two_Defects,Quakers,Altitude,Variety,Processing_Method,Country_of_Origin,Color,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Total_Cup_Points,Classe
0.0,3,12,0.0,1402.0,Bourbon,Washed / Wet,Guatemala,Green,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,83.5,Superior
0.0,0,10,0.0,1402.0,Bourbon,Washed / Wet,Guatemala,Green,7.75,7.5,7.67,7.5,7.92,8.0,10.0,10.0,9.33,83.17,Superior
0.0,0,10,0.0,1402.0,Bourbon,Washed / Wet,Guatemala,Green,7.75,7.33,7.33,7.42,7.75,7.67,10.0,10.0,9.33,82.0,Tradicional
0.11,0,0,0.0,1200.0,Typica,Washed / Wet,Taiwan,Blue-Green,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,84.42,Gourmet
0.0,1,1,0.0,1550.0,Typica,Washed / Wet,Mexico,Green,7.67,7.33,7.25,7.17,7.25,7.42,10.0,10.0,10.0,81.42,Tradicional
0.0,1,1,0.0,1200.0,Typica,Washed / Wet,Mexico,Unknown,7.08,7.08,6.92,7.08,6.92,6.92,8.0,8.0,8.0,72.92,Tradicional
0.0,0,0,0.0,1600.0,Bourbon,Washed / Wet,Mexico,Green,7.25,6.75,6.92,6.92,7.25,7.58,9.33,9.33,10.0,78.5,Tradicional
0.11,0,0,0.0,1550.0,Typica,Washed / Wet,Mexico,Green,7.42,7.42,7.25,7.5,7.33,7.42,10.0,10.0,10.0,81.83,Tradicional
0.12,0,1,0.0,1000.0,Typica,Washed / Wet,Mexico,Green,6.92,7.0,6.83,6.92,7.42,6.92,6.0,6.0,10.0,70.75,Tradicional
0.0,0,2,0.0,1400.0,Typica,Washed / Wet,Mexico,Green,7.58,7.75,7.42,7.5,7.5,7.5,8.67,8.67,10.0,80.0,Tradicional
0.1,1,3,0.0,1311.0,Unknown,Unknown,Colombia,Green,7.42,7.17,7.0,7.17,7.67,7.17,8.67,9.33,9.33,78.0,Tradicional
0.08,1,13,2.0,1311.0,Unknown,Washed / Wet,Costa Rica,Unknown,7.58,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,84.0,Gourmet
0.12,2,8,0.0,1300.0,Bourbon,Washed / Wet,Mexico,Bluish-Green,7.75,7.67,7.42,7.42,7.75,7.5,10.0,10.0,10.0,82.92,Superior
0.0,7,9,0.0,1200.0,Caturra,Washed / Wet,Outros,Green,7.42,7.75,7.42,7.67,7.92,7.83,8.67,5.33,9.33,77.0,Tradicional
0.11,1,0,0.0,1311.0,Unknown,Washed / Wet,Colombia,Green,7.5,7.42,7.42,7.42,7.67,7.42,10.0,10.0,10.0,82.08,Tradicional
0.11,0,2,0.0,1311.0,Unknown,Washed / Wet,Brazil,Unknown,7.0,6.75,6.67,6.83,7.08,6.83,10.0,10.0,10.0,77.83,Tradicional
0.1,0,1,0.0,1311.0,Unknown,Natural / Dry,Brazil,Bluish-Green,7.17,7.25,7.17,7.25,7.42,8.25,10.0,10.0,10.0,81.75,Tradicional
0.11,10,3,0.0,1311.0,Unknown,Washed / Wet,Colombia,Green,7.58,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,83.17,Superior
0.13,0,0,0.0,853.0,Other,Washed / Wet,Outros,Green,7.42,7.08,6.75,7.33,7.33,6.92,10.0,9.33,10.0,79.08,Tradicional
0.0,0,0,0.0,853.0,Other,Washed / Wet,Outros,Bluish-Green,7.67,7.5,7.67,7.83,7.75,7.83,10.0,10.0,9.33,83.0,Superior
0.12,0,1,0.0,853.0,Other,Washed / Wet,Outros,Green,7.83,7.83,7.83,7.67,8.0,8.17,9.33,9.33,10.0,83.75,Superior
0.0,0,0,0.0,853.0,Other,Washed / Wet,Outros,Green,7.67,7.75,7.67,7.58,7.58,7.67,6.67,10.0,10.0,81.08,Tradicional
0.11,0,0,0.0,1100.0,Catuai,Natural / Dry,Brazil,Green,7.5,7.58,7.5,7.5,7.75,7.83,9.33,9.33,9.33,81.33,Tradicional
0.09,2,10,6.0,1100.0,Catuai,Washed / Wet,Brazil,Green,7.58,7.5,7.25,7.42,7.67,7.33,10.0,10.0,10.0,82.25,Tradicional
0.0,0,5,0.0,1850.0,Typica,Washed / Wet,China,Green,7.0,6.92,6.83,7.17,7.17,7.17,10.0,10.0,9.33,78.67,Tradicional
0.17,0,14,0.0,1700.0,Other,Washed / Wet,China,Green,7.25,7.08,7.25,7.17,7.33,7.17,10.0,10.0,10.0,80.42,Tradicional
0.06,1,9,0.0,1311.0,Unknown,Unknown,Kenya,Unknown,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,84.92,Gourmet
0.11,5,8,0.0,695.0,Mundo Novo,Natural / Dry,Brazil,Green,7.58,7.42,7.5,7.25,7.75,7.58,9.33,10.0,9.33,81.08,Tradicional
0.0,0,14,0.0,1311.0,Unknown,Washed / Wet,Costa Rica,Green,7.92,7.58,7.25,7.75,7.92,7.58,9.33,9.33,10.0,82.33,Tradicional
0.11,0,0,0.0,1900.0,Bourbon,Washed / Wet,Outros,Bluish-Green,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,82.83,Superior
0.12,2,3,0.0,1311.0,Hawaiian Kona,Natural / Dry,United States (Hawaii),Green,7.58,7.33,7.5,7.42,7.5,7.33,8.0,8.67,9.33,78.0,Tradicional
0.12,1,5,0.0,1311.0,Unknown,Natural / Dry,United States (Hawaii),Green,7.08,6.92,6.83,6.67,7.58,7.42,8.67,9.33,10.0,77.25,Tradicional
0.11,1,3,0.0,1311.0,Hawaiian Kona,Natural / Dry,United States (Hawaii),Green,7.5,7.0,7.0,6.92,7.33,7.17,10.0,10.0,10.0,79.92,Tradicional
0.1,2,5,0.0,1311.0,Hawaiian Kona,Natural / Dry,United States (Hawaii),Bluish-Green,7.42,7.08,7.17,7.17,7.58,7.25,10.0,10.0,10.0,80.92,Tradicional
0.0,0,3,0.0,1311.0,Unknown,Natural / Dry,United States (Hawaii),Bluish-Green,7.5,7.33,7.33,7.58,7.67,7.25,8.0,8.0,8.0,76.17,Tradicional
0.11,0,1,0.0,1311.0,Hawaiian Kona,Natural / Dry,United States (Hawaii),Bluish-Green,7.83,7.58,7.83,7.67,7.92,8.0,9.33,10.0,9.33,83.33,Superior
0.11,2,2,0.0,1311.0,Hawaiian Kona,Natural / Dry,United States (Hawaii),Bluish-Green,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,85.08,Gourmet
0.0,0,0,0.0,1311.0,Hawaiian Kona,Natural / Dry,United States (Hawaii),Green,7.25,7.08,6.83,7.17,7.33,6.83,8.67,8.67,9.33,76.25,Tradicional
0.11,0,0,0.0,1311.0,Hawaiian Kona,Natural / Dry,United States (Hawaii),Bluish-Green,7.5,7.5,7.58,7.42,7.92,7.67,10.0,10.0,10.0,83.17,Superior
0.1,6,0,0.0,1311.0,Hawaiian Kona,Natural / Dry,United States (Hawaii),Blue-Green,7.67,7.58,7.42,7.83,7.33,7.5,10.0,10.0,10.0,82.75,Superior
0.1,0,0,0.0,1311.0,Hawaiian Kona,Natural / Dry,United States (Hawaii),Bluish-Green,7.5,7.75,7.58,7.83,7.92,7.92,7.33,8.0,8.67,78.33,Tradicional
0.1,0,0,0.0,1311.0,Hawaiian Kona,Natural / Dry,United States (Hawaii),Green,7.58,7.83,7.75,7.75,7.42,8.0,9.33,9.33,10.0,82.75,Superior
0.12,4,13,0.0,1311.0,Hawaiian Kona,Natural / Dry,United States (Hawaii),Green,7.5,7.08,7.67,7.67,7.42,7.58,9.33,9.33,9.33,80.25,Tradicional
0.12,0,8,0.0,1311.0,Hawaiian Kona,Natural / Dry,United States (Hawaii),Bluish-Green,7.33,7.75,7.58,7.33,7.83,7.67,10.0,10.0,10.0,83.08,Superior
